000001,40101010
000002,60201030
000008,20304010
000009,20105010
000012,15102010
000016,25201010
000021,45203020
000024,60201030
000027,55105010
000029,60201030
000031,60201030
000036,60201010
000039,20106020
000046,40201020
000059,15101010
000060,15104020
000061,30101030
000063,45201020
000066,45202030
000068,45203015
000069,60201030
000088,20305020
000089,20305010
000096,10102030
000099,20301010
000100,45203010
000156,50201030
000157,20106010
000166,40203020
000301,15101010
000333,25201040
000338,20106010
000400,20104020
000401,15102010
000402,60201030
000406,#N/A N/A
000408,15101030
000410,20106020
000413,45203015
000415,20107010
000420,15101010
000422,15101030
000423,35202010
000425,20106010
000429,20305020
000488,15105020
000498,20103010
000503,35102010
000507,20305030
000511,20104010
000518,35201010
000520,20303010
000527,#N/A N/A
000528,20106010
000533,20104010
000536,45203010
000538,35202010
000539,55105010
000540,60201030
000541,20104010
000543,55105010
000550,25102010
000553,15101030
000555,45102010
000559,25101010
000562,40203020
000568,30201020
000571,10102050
000572,25102010
000573,60201030
000581,25101010
000596,30201020
000598,55104010
000601,55105010
000607,50201010
000612,15104010
000617,40101010
000618,#N/A N/A
000623,35202010
000625,25102010
000627,40301020
000629,15104050
000630,15104025
000631,60201030
000636,45203015
000651,25201040
000652,20107010
000656,60201030
000659,15103010
000661,35202010
000666,20106020
000667,60201030
000671,60201030
000680,20106010
000682,20104010
000685,55104010
000686,40203020
000690,55105010
000698,15101010
000703,15101010
000707,15101010
000708,15104050
000709,15104050
000712,40203020
000717,15104050
000718,60201010
000723,15104050
000725,45203015
000726,25203030
000727,45202030
000728,40203020
000729,30201010
000733,45203015
000735,30202030
000737,15104025
000738,20101010
000750,40203020
000751,15104020
000755,20305020
000758,15104020
000761,15104050
000763,#N/A N/A
000767,55105010
000768,20101010
000776,40203020
000778,15104050
000780,10102050
000783,40203020
000786,20102010
000792,15101030
000793,50201040
000800,20106010
000806,20104010
000807,15104010
000817,#N/A N/A
000822,15101010
000823,45203015
000825,15104050
000826,20201050
000828,20305020
