Month,5agglomerative,5grid,5kmeans,6agglomerative,6grid,6kmeans,7agglomerative,7grid,7kmeans,8agglomerative,8grid,8kmeans,9agglomerative,9grid,9kmeans,10agglomerative,10grid,10kmeans,SPY Sharpe Ratio
Jan 2024,1.698347403253525,0.7557626933206496,1.4182590403832602,1.6141590247418285,0.739602276808008,1.443255533749902,1.5653744727035772,0.7223579824221417,1.4754577320363624,1.5512567935577122,0.7084009301164369,1.507413104276791,1.5357769664465,0.8104540495650692,1.5105435029335408,1.565843152105684,0.9092667482736104,1.324604494596596,0.501
Feb 2024,0.735296951303576,1.865335952404101,-0.3557850515224859,0.8495011865763108,1.580485803275199,-0.2006501964052957,0.9776894838382744,1.3220106270058254,-0.0362929466790272,1.1138473156507982,1.3165430525545132,0.1348737223046673,1.24445078629499,1.4637932820962871,0.3097175677617155,1.3487265363946892,1.534870951822066,0.4846162219667413,1.342
Mar 2024,1.211955673259108,0.7768880909364897,0.844045836163235,1.2478057430960634,0.8461528236214044,0.8938647319796518,1.2803461557013665,0.913823752460872,0.9205567357638426,1.285485951162604,1.0043153955535304,0.9409922860586422,1.2434872674965511,1.0475710826702038,0.905918706722878,1.1861345269798642,1.0085366044611468,0.861326348287111,0.76
Apr 2024,-1.3094284809835193,-1.399512398260141,0.2091231756953151,-1.2462142954865447,-1.3651004830111406,-0.0606727068463531,-1.1673795313447024,-1.312685559654012,-0.3211765554218867,-1.0736085362952013,-1.236768319429641,-0.5617480793792893,-1.023905153678706,-1.1341789337612698,-0.7758488261160331,-0.9445020592388946,-1.0367728367724016,-0.9611384919134583,-0.878
May 2024,1.3571091330344836,2.34780235177176,1.0098770101740728,1.4374706120266254,2.1723320920329834,1.0288661930206848,1.4080236615530854,1.9994489903579955,1.0474019410991244,1.2396412292849204,1.8124816846363463,1.050735021768035,1.0361067788173424,1.6582410601846027,1.0337024555084158,0.7952952387614823,1.5531588627016435,0.983376737687449,1.169
Jun 2024,1.6521134801863837,1.562178632939578,1.661904014711758,1.726038845290918,1.6106300691582027,1.728335950127256,1.7941479375511622,1.6529644001891155,1.7935475692641527,1.8488228523899124,1.6840767681002375,1.8502725017528676,1.783283435051509,1.7003336225457248,1.842556812856447,1.6917778843629456,1.666207028269769,1.764255433609782,0.767
Jul 2024,0.2349262601234707,-0.1129554125674462,0.3931495618411479,0.4320498853317369,-0.0020589067048085,0.4488287355582981,0.663168353859755,0.1101813584143793,0.5013839272883158,0.7308402052458214,0.2232361060098254,0.5498862151123923,0.3066015642451905,0.3296712014428957,0.5941270023623901,-0.0358888079718784,0.1657801464623397,0.6881491376232285,0.372
Aug 2024,0.5607428225386083,1.4877615824956638,1.0701337947059442,0.6140399335700514,1.2952440459604486,1.0038521944561445,0.6661977533336657,1.103972015484954,0.9300542183137458,0.7144551037608191,0.9231265393297696,0.7787822700582708,0.7557989540666902,0.8191492471866655,0.5861615726535252,0.7875655709721121,0.7384568097801015,0.3889867809250718,0.585
Sep 2024,0.2849456394793094,0.2640519724868038,0.5942494100943757,0.3617955954383321,0.3643790523576454,0.6827206309595231,0.4319220998242525,0.4577652246750994,0.7627580747663566,0.4904140602407686,0.5468849716827614,0.8204597711633512,0.5374914586040617,0.6216091475634987,0.921063450498392,0.5989410502971518,0.7063426338390291,1.1092241092459107,0.541
Oct 2024,-0.64294532932649,-0.5699608204023479,-0.7254599833182612,-0.560745729430374,-0.3393151450121549,-0.6576125147919872,-0.4703521313612079,-0.3765363747310885,-0.5796202049897138,-0.3711267886568934,-0.4016546743207518,-0.4899899295656559,-0.2624075538850658,-0.4392941091708789,-0.3066676192339249,-0.1436576677371421,-0.4590854544698657,-0.3055207747202531,-0.185
Nov 2024,2.018397990904382,2.136529236371033,2.2690895739442545,2.002785916367102,2.0723828354213603,2.3039499012790956,1.9638099919977012,1.925562280925737,2.3149608987761225,1.895622182898833,1.7714363577517074,2.298065862122435,1.7608411946956186,1.56794935480893,2.25102585280125,1.6598981511097,1.6598981511097,2.184161364058652,2.219
