Date,Rf
1990-01-01,8.206666666666667
1990-02-01,8.473157894736843
1990-03-01,8.588636363636363
1990-04-01,8.7855
1990-05-01,8.758181818181818
1990-06-01,8.48
1990-07-01,8.471428571428572
1990-08-01,8.752608695652174
1990-09-01,8.893157894736841
1990-10-01,8.719545454545456
1990-11-01,8.392
1990-12-01,8.075
1991-01-01,8.091904761904763
1991-02-01,7.854736842105264
1991-03-01,8.11
1991-04-01,8.039090909090909
1991-05-01,8.067727272727273
1991-06-01,8.284
1991-07-01,8.272727272727273
1991-08-01,7.9
1991-09-01,7.65
1991-10-01,7.527272727272727
1991-11-01,7.417368421052632
1991-12-01,7.088571428571429
1992-01-01,7.032380952380953
1992-02-01,7.337894736842105
1992-03-01,7.542272727272728
1992-04-01,7.480476190476191
1992-05-01,7.392
1992-06-01,7.261818181818182
1992-07-01,6.844545454545455
1992-08-01,6.585714285714286
1992-09-01,6.415238095238095
1992-10-01,6.589047619047619
1992-11-01,6.873157894736842
1992-12-01,6.77
1993-01-01,6.6000000000000005
1993-02-01,6.258947368421053
1993-03-01,5.975217391304348
1993-04-01,5.9695238095238095
1993-05-01,6.0355
1993-06-01,5.962727272727273
1993-07-01,5.805238095238095
1993-08-01,5.677727272727273
1993-09-01,5.36
1993-10-01,5.334
1993-11-01,5.724
1993-12-01,5.774090909090909
1994-01-01,5.750500000000001
1994-02-01,5.9731578947368416
1994-03-01,6.482608695652174
1994-04-01,6.972105263157895
1994-05-01,7.183333333333333
1994-06-01,7.101363636363636
1994-07-01,7.298
1994-08-01,7.236086956521739
1994-09-01,7.457142857142857
1994-10-01,7.744
1994-11-01,7.955
1994-12-01,7.813809523809524
1995-01-01,7.7795000000000005
1995-02-01,7.469473684210525
1995-03-01,7.204782608695653
1995-04-01,7.062631578947368
1995-05-01,6.632727272727274
1995-06-01,6.168181818181818
1995-07-01,6.2780000000000005
1995-08-01,6.488260869565217
1995-09-01,6.1975
1995-10-01,6.044761904761905
1995-11-01,5.93047619047619
1995-12-01,5.7115
1996-01-01,5.652380952380953
1996-02-01,5.8055
1996-03-01,6.268571428571428
1996-04-01,6.511363636363637
1996-05-01,6.736818181818182
1996-06-01,6.912000000000001
1996-07-01,6.865454545454545
1996-08-01,6.635454545454545
1996-09-01,6.832000000000001
1996-10-01,6.533636363636364
1996-11-01,6.203684210526316
1996-12-01,6.302380952380952
1997-01-01,6.579047619047619
1997-02-01,6.419473684210526
1997-03-01,6.6945
1997-04-01,6.885454545454545
1997-05-01,6.7109523809523814
1997-06-01,6.493809523809524
1997-07-01,6.220454545454545
1997-08-01,6.298571428571429
1997-09-01,6.208571428571428
1997-10-01,6.029545454545455
1997-11-01,5.875
1997-12-01,5.808636363636364
1998-01-01,5.5445
1998-02-01,5.574736842105263
1998-03-01,5.647272727272727
1998-04-01,5.637619047619047
1998-05-01,5.6525
1998-06-01,5.496363636363636
1998-07-01,5.461363636363637
1998-08-01,5.341904761904762
1998-09-01,4.806666666666667
1998-10-01,4.529999999999999
1998-11-01,4.827368421052632
1998-12-01,4.645
1999-01-01,4.722105263157895
1999-02-01,4.998947368421053
1999-03-01,5.232608695652174
1999-04-01,5.184545454545455
1999-05-01,5.539499999999999
1999-06-01,5.899545454545454
1999-07-01,5.791904761904762
1999-08-01,5.9390909090909085
1999-09-01,5.915238095238095
1999-10-01,6.112
1999-11-01,6.034
1999-12-01,6.275454545454545
2000-01-01,6.661
2000-02-01,6.519499999999999
2000-03-01,6.256521739130435
2000-04-01,5.990526315789474
2000-05-01,6.440454545454545
2000-06-01,6.097272727272728
2000-07-01,6.054
2000-08-01,5.826086956521739
2000-09-01,5.799
2000-10-01,5.738571428571428
2000-11-01,5.717142857142857
2000-12-01,5.2405
2001-01-01,5.160952380952381
2001-02-01,5.098947368421053
2001-03-01,4.885454545454546
2001-04-01,5.141
2001-05-01,5.391363636363637
2001-06-01,5.284285714285714
2001-07-01,5.236190476190477
2001-08-01,4.971304347826087
2001-09-01,4.731764705882353
2001-10-01,4.566818181818181
2001-11-01,4.6515
2001-12-01,5.0875
2002-01-01,5.035714285714286
2002-02-01,4.911578947368421
2002-03-01,5.284000000000001
2002-04-01,5.210909090909091
2002-05-01,5.164545454545455
2002-06-01,4.9265
2002-07-01,4.653181818181818
2002-08-01,4.257272727272727
2002-09-01,3.87
2002-10-01,3.940909090909091
2002-11-01,4.048421052631579
2002-12-01,4.032380952380952
2003-01-01,4.048571428571428
2003-02-01,3.9026315789473687
2003-03-01,3.8071428571428574
2003-04-01,3.958571428571428
2003-05-01,3.5690476190476192
2003-06-01,3.334285714285714
2003-07-01,3.975454545454546
2003-08-01,4.4452380952380945
2003-09-01,4.274285714285715
2003-10-01,4.290454545454545
2003-11-01,4.300000000000001
2003-12-01,4.267727272727273
2004-01-01,4.1505
2004-02-01,4.084210526315789
2004-03-01,3.826521739130435
2004-04-01,4.347619047619047
2004-05-01,4.7155000000000005
2004-06-01,4.733809523809524
2004-07-01,4.498095238095239
2004-08-01,4.281363636363636
2004-09-01,4.1257142857142854
2004-10-01,4.0969999999999995
2004-11-01,4.194
2004-12-01,4.2309090909090905
2005-01-01,4.221500000000001
2005-02-01,4.165263157894737
2005-03-01,4.497727272727273
2005-04-01,4.3409523809523805
2005-05-01,4.144285714285714
2005-06-01,3.998181818181818
2005-07-01,4.1775
2005-08-01,4.262608695652174
2005-09-01,4.199047619047619
2005-10-01,4.4635
2005-11-01,4.535
2005-12-01,4.467142857142857
2006-01-01,4.416
2006-02-01,4.568947368421052
2006-03-01,4.7239130434782615
2006-04-01,4.990526315789474
