Date,Rm
1990-01-01,353.94000244140625
1990-02-01,358.5
1990-03-01,368.0
1990-04-01,358.82000732421875
1990-05-01,393.79998779296875
1990-06-01,391.1400146484375
1990-07-01,389.8900146484375
1990-08-01,354.6499938964844
1990-09-01,337.3900146484375
1990-10-01,335.95001220703125
1990-11-01,357.6700134277344
1990-12-01,367.6300048828125
1991-01-01,383.6400146484375
1991-02-01,411.0799865722656
1991-03-01,421.0299987792969
1991-04-01,422.0299987792969
1991-05-01,440.239990234375
1991-06-01,420.07000732421875
1991-07-01,439.6499938964844
1991-08-01,450.05999755859375
1991-09-01,442.5299987792969
1991-10-01,448.4800109863281
1991-11-01,430.4100036621094
1991-12-01,479.6300048828125
1992-01-01,470.70001220703125
1992-02-01,476.7900085449219
1992-03-01,467.5199890136719
1992-04-01,481.25
1992-05-01,483.6000061035156
1992-06-01,476.4100036621094
1992-07-01,495.8699951171875
1992-08-01,485.7200012207031
1992-09-01,491.42999267578125
1992-10-01,493.1300048828125
1992-11-01,509.9200134277344
1992-12-01,516.1799926757812
1993-01-01,520.489990234375
1993-02-01,527.5900268554688
1993-03-01,538.719970703125
1993-04-01,525.7000122070312
1993-05-01,539.760009765625
1993-06-01,541.3400268554688
1993-07-01,539.1599731445312
1993-08-01,559.6199951171875
1993-09-01,555.3300170898438
1993-10-01,566.8200073242188
1993-11-01,561.4099731445312
1993-12-01,568.2000122070312
1994-01-01,587.52001953125
1994-02-01,571.5700073242188
1994-03-01,546.6500244140625
1994-04-01,553.6599731445312
1994-05-01,562.75
1994-06-01,548.9600219726562
1994-07-01,566.97998046875
1994-08-01,590.22998046875
1994-09-01,575.7999877929688
1994-10-01,588.72998046875
1994-11-01,567.2899780273438
1994-12-01,575.7100219726562
1995-01-01,590.6400146484375
1995-02-01,613.6500244140625
1995-03-01,631.760009765625
1995-04-01,650.3599853515625
1995-05-01,676.3599853515625
1995-06-01,692.0700073242188
1995-07-01,715.02001953125
1995-08-01,716.8200073242188
1995-09-01,747.0700073242188
1995-10-01,744.4000244140625
1995-11-01,777.0700073242188
1995-12-01,792.0399780273438
1996-01-01,819.0
1996-02-01,826.5900268554688
1996-03-01,834.5499877929688
1996-04-01,846.8499755859375
1996-05-01,868.6900024414062
1996-06-01,872.010009765625
1996-07-01,833.47998046875
1996-08-01,851.0599975585938
1996-09-01,898.969970703125
1996-10-01,923.760009765625
1996-11-01,993.5800170898438
1996-12-01,973.9000244140625
1997-01-01,1034.739990234375
1997-02-01,1042.8499755859375
1997-03-01,1000.0
1997-04-01,1059.699951171875
1997-05-01,1124.219970703125
1997-06-01,1174.5899658203125
1997-07-01,1268.050048828125
1997-08-01,1197.010009765625
1997-09-01,1262.56005859375
1997-10-01,1220.4000244140625
1997-11-01,1276.8900146484375
1997-12-01,1298.8199462890625
1998-01-01,1313.18994140625
1998-02-01,1407.9000244140625
1998-03-01,1480.0
1998-04-01,1494.8900146484375
1998-05-01,1469.18994140625
1998-06-01,1528.8699951171875
1998-07-01,1512.5899658203125
1998-08-01,1293.9000244140625
1998-09-01,1376.7900390625
1998-10-01,1488.780029296875
1998-11-01,1579.02001953125
1998-12-01,1670.010009765625
1999-01-01,1739.8399658203125
1999-02-01,1685.77001953125
1999-03-01,1753.2099609375
1999-04-01,1821.1099853515625
1999-05-01,1778.0999755859375
1999-06-01,1876.780029296875
1999-07-01,1818.1800537109375
1999-08-01,1809.18994140625
1999-09-01,1759.5899658203125
1999-10-01,1870.93994140625
1999-11-01,1908.969970703125
1999-12-01,2021.4000244140625
2000-01-01,1919.8399658203125
2000-02-01,1883.5
2000-03-01,2067.760009765625
2000-04-01,2005.550048828125
2000-05-01,1964.4000244140625
2000-06-01,2012.8299560546875
2000-07-01,1981.3599853515625
2000-08-01,2104.429931640625
2000-09-01,1993.3299560546875
2000-10-01,1984.9100341796875
2000-11-01,1828.4200439453125
2000-12-01,1837.3699951171875
2001-01-01,1902.550048828125
2001-02-01,1729.0799560546875
2001-03-01,1619.5400390625
2001-04-01,1745.3900146484375
2001-05-01,1757.0899658203125
2001-06-01,1714.3199462890625
2001-07-01,1697.449951171875
2001-08-01,1591.1800537109375
2001-09-01,1462.68994140625
2001-10-01,1490.5799560546875
2001-11-01,1604.9200439453125
2001-12-01,1618.97998046875
2002-01-01,1595.3499755859375
2002-02-01,1564.5899658203125
2002-03-01,1623.4300537109375
2002-04-01,1525.0
2002-05-01,1513.77001953125
2002-06-01,1405.93994140625
2002-07-01,1296.3399658203125
2002-08-01,1304.8599853515625
2002-09-01,1163.0400390625
2002-10-01,1265.4100341796875
2002-11-01,1339.8900146484375
2002-12-01,1261.1800537109375
2003-01-01,1228.1400146484375
2003-02-01,1209.7099609375
2003-03-01,1221.4599609375
2003-04-01,1322.0699462890625
2003-05-01,1391.719970703125
2003-06-01,1409.47998046875
2003-07-01,1434.3299560546875
2003-08-01,1462.300048828125
2003-09-01,1446.77001953125
2003-10-01,1528.6199951171875
2003-11-01,1542.0699462890625
2003-12-01,1622.93994140625
2004-01-01,1652.72998046875
2004-02-01,1675.699951171875
2004-03-01,1650.4200439453125
2004-04-01,1624.510009765625
2004-05-01,1646.800048828125
2004-06-01,1678.8299560546875
2004-07-01,1623.260009765625
2004-08-01,1629.8299560546875
2004-09-01,1647.47998046875
2004-10-01,1672.6500244140625
2004-11-01,1740.3299560546875
2004-12-01,1799.550048828125
2005-01-01,1755.6800537109375
2005-02-01,1792.6300048828125
2005-03-01,1760.8900146484375
2005-04-01,1727.489990234375
2005-05-01,1782.4599609375
